Tiempo (s),Voltaje (V)
0.0,1.845370529918
0.0040000533340444535,1.798240631702356
0.008000106668088907,1.5664648308884352
0.01200016000213336,1.6068157711415552
0.016000213336177814,1.8476301825721748
0.02000026667022227,1.88507585512707
0.02400032000426672,1.656528129533399
0.028000373338311173,1.6429702136083506
0.03200042667235563,1.9060583440586925
0.03600048000640008,2.004514638276305
0.04000053334044454,1.7782265653368086
0.04400058667448899,1.6859036140376702
0.04800064000853344,1.8721635542460717
0.0520006933425779,1.957707547582686
0.056000746676622346,1.719798403850291
0.0600008000106668,1.552261299919337
0.06400085334471126,1.7059176804032177
0.0680009066787557,1.8479529900941998
0.07200096001280017,1.6729913131566718
0.07600101334684461,1.4851173353381455
0.08000106668088908,1.6116578839719296
0.08400112001493353,1.7866195609094575
0.08800117334897797,1.679124656075146
0.09200122668302244,1.4796296074637212
0.09600128001706688,1.559685872925911
0.10000133335111133,1.758212498971261
0.1040013866851558,1.7159247135859914
0.10800144001920024,1.504485786659643
0.11200149335324469,1.5461279570008628
0.11600154668728915,1.7653142644558102
0.1200016000213336,1.7779037578147836
0.12400165335537806,1.536766538862139
0.1280017066894225,1.488345410558395
0.13200176002346697,1.6930053795222193
0.1360018133575114,1.7653142644558102
0.14000186669155587,1.5551665676175617
0.14400192002560033,1.4864085654262453
0.14800197335964477,1.6846123839495704
0.15200202669368923,1.783391485689208
0.1560020800277337,1.5868017047760077
0.16000213336177815,1.4796296074637212
0.1640021866958226,1.6539456693571992
0.16800224002986705,1.8005002843565308
0.1720022933639115,1.6865492290817201
0.17600234669795595,1.631026335293427
0.1800024000320004,1.9057355365366675
0.18400245336604487,2.2146623351145536
0.1880025067000893,2.1765710475156084
0.19200256003413377,1.96513212058926
0.19600261336817823,1.9060583440586925
0.20000266670222266,1.76660549454391
0.20400272003626713,1.3024082778720185
0.2080027733703116,0.8759795412770472
0.21200282670435602,0.9024497580830939
0.21600288003840049,1.1897484526853077
0.22000293337244495,1.2707731407135725
0.22400298670648938,1.154885240306612
0.22800304004053384,1.2207379747997038
0.2320030933745783,1.4989980587852187
0.23600314670862277,1.6607246273197234
0.2400032000426672,1.5487104171770625
0.24400325337671167,1.5119103596662171
0.24800330671075613,1.694942224654369
0.25200336004480056,1.8130897777155042
0.256003413378845,1.656528129533399
0.2600034667128895,1.552261299919337
0.26400352004693395,1.7123738308437169
0.2680035733809784,1.8657074038055725
0.2720036267150228,1.7482054657884873
0.2760036800490673,1.6055245410534553
0.28000373338311174,1.72754578437889
0.2840037867171562,1.902184653794393
0.28800384005120067,1.8289073462947272
0.29200389338524513,1.6461982888286002
0.29600394671928953,1.7172159436740912
0.300004000053334,1.9105776493670419
0.30400405338737846,1.8795881272526458
0.3080041067214229,1.656528129533399
0.3120041600554674,1.6700860454584472
0.31600421338951185,1.8844302400830202
0.3200042667235563,1.925103987858165
0.3240043200576007,1.7204440188943408
0.3280043733916452,1.6942966096103191
0.33200442672568964,1.9063811515807174
0.3360044800597341,1.9899882997851819
0.34000453339377856,1.783391485689208
0.344004586727823,1.6988159149186686
0.34800464006186743,1.8918548130895942
0.3520046933959119,2.0245287046418525
0.35600474672995636,1.8440792998299003
0.3600048000640008,1.7078545255353674
0.3640048533980453,1.8676442489377223
0.36800490673208974,2.038409428088926
0.37200496006613415,1.9209074900718406
0.3760050134001786,1.7640230343677104
0.3800050667342231,1.8837846250389703
0.38400512006826754,2.068107720115222
0.388005173402312,1.9861146095208824
0.39200522673635646,1.783068678167183
0.3960052800704009,1.8347178816911764
0.40000533340444533,2.021946244465653
0.4040053867384898,1.9845005719107576
0.40800544007253425,1.7465914281783625
0.4120054934065787,1.7394896626938134
0.4160055467406232,1.9473777068778872
0.42000560007466764,1.988374262175057
0.42400565340871205,1.7530475786188617
0.4280057067427565,1.6849351914715953
0.43200576007680097,1.8792653197306208
0.43600581341084543,1.9780444214702584
0.4400058667448899,1.7795177954249084
0.44400592007893436,1.647812326438725
0.44800597341297876,1.791138866217807
0.4520060267470232,1.8986337710521184
0.4560060800810677,1.711082600755617
0.46000613341511215,1.5564577977056615
0.4640061867491566,1.7062404879252426
0.4680062400832011,1.8602196759311482
0.47200629341724554,1.7285142069449648
0.47600634675128994,1.5406402291264385
0.4800064000853344,1.6332859879476018
0.48400645341937887,1.805988012230955
0.48800650675342333,1.734970357385464
0.4920065600874678,1.5396718065603636
0.49600661342151225,1.5942262777825817
0.5000066667555567,1.783391485689208
0.5040067200896011,1.767573917109985
0.5080067734236456,1.5593630654038861
0.51200682675769,1.5577490277937613
0.5160068800917345,1.7482054657884873
0.520006933425779,1.791461673739832
0.5240069867598234,1.5906753950403072
0.5280070400938679,1.5351525012520142
0.5320070934279123,1.7230264790705405
0.5360071467619568,1.814058200281579
0.5400072000960012,1.623601762286853
0.5440072534300456,1.5303103884216398
0.5480073067640902,1.7139878684538417
0.5520073600981346,1.846984567528125
0.5560074134321791,1.6884860742138699
0.5600074667662235,1.5571034127497114
0.5640075201002679,1.7091457556234673
0.5680075734343124,1.869903901591897
0.5720076267683568,1.7491738883545622
0.5760076801024013,1.5703385211527348
0.5800077334364457,1.6675035852822475
0.5840077867704903,1.8482757976162247
0.5880078401045347,1.7866195609094575
